SNo,Date,Company,CSE,ISE,ECE,EI,ME,IEM,CVL,PG,TotalOffers,CTC_LPA,Notes
1,19/07/2022,Betsol,4,5,0,0,0,0,0,0,9,8
2,26/08/2022,Kickdrum,4,1,0,0,0,0,0,0,5,14.87
3,07/09/2022,Quinbay,3,3,0,0,0,0,0,0,6,10
4,15/09/2022,Accenture,17,11,4,0,0,0,0,0,32,4.5
4-A,15/09/2022,Accenture_ASE,5,0,0,0,0,0,0,0,5,6.5
5,19/09/2022,ITC Infotech,22,14,5,1,0,0,0,0,42,4.25
6,20/09/2022,Cognizant,28,33,22,9,2,0,1,0,95,4
7,22/09/2022,Ribbon Communications (Core),2,1,0,0,0,0,0,0,3,9
8,26/09/2022,CyRAACS,5,5,3,0,0,0,0,0,13,5
9,28/09/2022,TCS,11,15,5,3,1,1,0,0,36,3.36
9-A,28/09/2022,TCS Digital,6,1,0,0,0,0,0,0,7,7.6
9-B,29/12/2022,TCS (Ninja),2,0,2,0,0,1,0,0,5,3.36
10,08/10/2022,Kantar,1,1,2,0,0,0,0,0,4,5
11,17/10/2022,Vitesco Technologies (Core),0,0,5,0,0,0,0,0,5,6
12,17/10/2022,Contentstack,2,0,0,0,0,0,0,0,2,12
13,17/10/2022,Harman (Core),13,4,3,0,0,0,0,0,20,7
14,20/10/2022,Bosch Limited (Core),2,1,1,0,4,0,0,0,8,4.5
15-0,19/10/2022,LTI Level 0,12,12,7,1,0,0,0,0,32,4
15-1,19/10/2022,LTI Level 1,4,5,4,1,0,0,0,0,14,5
15-2,19/10/2022,LTI Level 2,3,1,0,0,0,0,0,0,4,6.5
16,05/11/2022,Fintellix,0,0,2,1,0,0,0,0,3,5.5
17,05/11/2022,Continental (Core),5,2,6,1,0,0,0,0,14,6
18,14/11/2022,HashedIn Technologies,1,1,0,0,0,0,0,0,2,8.1
19,14/11/2022,Cordis Technology,0,1,0,0,0,0,0,0,1,6
20,15/11/2022,Tech Mahindra,4,0,2,0,0,0,0,0,6,4
21,16/11/2022,DeltaX,1,0,0,0,0,0,0,0,1,7
22,16/11/2022,MAGNA BLR (Core),1,0,2,0,1,0,0,0,4,5
23,23/11/2022,Ericsson (Core),8,3,0,0,0,0,0,0,11,8.25
24,25/11/2022,Avanseus,4,3,0,0,0,0,0,0,7,6.75
25,28/11/2022,Skylark Drones Pvt Ltd,1,1,0,0,0,0,0,0,2,8
26,28/11/2022,Comviva,1,0,0,0,0,0,0,0,1,3.75
27,02/12/2022,Textron (Core),0,0,0,0,3,0,0,0,3,4
28,06/12/2022,Quest Global,2,0,0,0,0,0,0,0,2,3.25
29,06/12/2022,Beepkart (Internship),3,0,0,0,0,0,0,0,3,1
30,12/12/2022,SpurTree Technologies,4,5,1,0,0,0,0,0,10,4
31,14/12/2022,HPE - Hewlett Packard Enterprises,0,0,4,1,0,0,0,0,5,5.5
32,15/12/2022,Light & Wonder,1,4,2,0,0,0,0,0,7,8.55
33,16/12/2022,Smartsocs (Core),0,0,1,0,0,0,0,0,1,6
34,22/12/2022,NMTronics India Pvt Ltd (Core),0,0,2,0,0,0,0,0,2,3
35,23/12/2022,Velankani Software,2,1,1,0,0,0,0,0,4,5
36,24/12/2022,ICICI Securities Limited,0,0,0,0,0,0,0,9,9,4.05
37,31/12/2022,Intellipaat,0,0,0,0,0,0,0,1,1,9
38,12/01/2023,Juspay,0,0,2,0,0,0,0,0,2,11
39,19/01/2023,Piramal Capital & Housing Finance,0,0,0,0,0,0,0,3,3,7.5
40,30/01/2023,Yokogawa (Core),0,0,4,6,0,0,0,0,10,4.6
41,01/02/2023,IDFC FIRST Bank,0,0,0,0,0,0,0,2,2,3
42,03/02/2023,PLM Indishtech,0,0,0,0,0,2,0,0,2,2.75
43,09/02/2023,K&S Partners,0,0,3,0,0,0,0,0,3,9
44,21/02/2023,Mercedes-Benz R & D,7,10,0,0,0,0,0,0,17,10
45,21/02/2023,IBM,0,0,1,0,0,0,0,0,1,4.5
46,22/02/2023,Turing Minds,3,4,5,0,2,4,0,0,18,1.8
47,24/02/2023,Vistas Learning,1,1,1,0,4,3,1,21,32,2
48,24/02/2023,Bharat Fritz Werner Limited,0,0,0,0,9,0,0,0,9,1
49,02/03/2023,EDS Technologies,2,0,0,0,0,0,0,0,2,4
50,07/03/2023,Getronics,2,1,0,0,0,0,0,0,3,5
51,03/03/2023,DXCorr,0,0,7,0,0,0,0,0,7,4
52,20/03/2023,Sonata Software,1,0,1,0,0,0,0,0,2,4
53,31/03/2023,Juspay,0,1,0,0,0,0,0,0,1,21
54,04/03/2023,NTT Data,4,2,2,0,0,0,0,0,8,3
55,10/04/2023,Proman Infrastructure,0,0,0,0,10,0,0,0,10,2.16
56,05/04/2023,Zerofox,0,1,0,0,0,0,0,0,1,3.4
57,13/04/2023,Nextfirst,0,0,0,0,3,0,0,0,3,2.4
58,26/04/2023,Wiley Edge,0,2,0,0,0,0,0,0,2,9
59,16/05/2023,Toyota Industries Engine India,0,0,0,0,1,0,0,0,1,3
60, ,Target,0,1,0,0,0,0,0,0,1,7.5
61,02/06/2023,Flowserve,0,0,0,2,0,0,0,0,2,6.69
61-A,02/06/2023,Toyota Industries Engine India (Large Drive),0,0,0,0,17,0,0,0,17,1.74
62,23/06/2023,Seventh Sense,1,0,0,0,1,2,0,8,12,5
63,03/07/2023,Palle Technologies,7,4,4,0,1,0,0,0,16,3
64,27/07/2023,m2Nnxt Solutions,0,0,1,0,2,0,0,0,3,3.6
65,20/08/2021,Accolite,0,2,0,0,0,0,0,0,2,6.5
66,25/08/2021,Betsol,7,6,0,0,0,0,0,0,13,"4.5;5 to 6"
67,14/08/2021,Cognizant,61,40,37,9,6,3,0,0,156,"4;6.75"
68,14/09/2021,HashedIn By Deloitte,2,2,0,0,0,0,0,0,4,8.1
69,05/09/2021,Accenture,30,16,12,3,0,0,0,0,61,"4.5;6.5"
70,27/09/2021,LTI,31,7,2,1,0,0,0,0,41,"5;6.5;8"
71,07/10/2021,Kantar,0,0,1,0,0,1,0,0,2,5
72,09/05/2021,Infy TQ,1,0,1,0,0,0,0,0,2,"5;8"
73,15/11/2021,Tech Mahindra,0,0,0,1,0,0,0,0,1,3.25
74,11/10/2021,Avanseus,7,1,0,0,0,0,0,0,8,4.75
75,14/09/2021,TCS,25,14,11,2,2,2,0,0,56,"3.56;8"
76,27/09/2021,Wipro,44,31,44,4,6,2,1,0,132,3.5
77, ,Reliance Jio,4,1,0,0,0,0,0,0,5,3.5
78, ,HCL,3,0,4,0,0,0,0,0,7,3
79,10/12/2021,Sasken,0,0,1,0,0,0,0,0,1,3.7
80,25/11/2021,Technovert,1,3,0,0,0,0,0,0,4,"5.5 to 6"
81,04/12/2021,CyRAACS,3,5,2,1,1,1,0,0,13,"3.5 to 5.5"
82,11/11/2021,Evertz,1,1,0,0,0,0,0,0,2,3.5
83,09/10/2021,PWC,4,1,0,0,0,0,0,0,5,6
84,30/11/2021,Clarivate,5,1,1,0,0,0,0,0,7,6.48
85,01/12/2021,Cronj IT,1,0,0,0,0,0,0,0,1,5.65
86,29/11/2021,Willey MThree,3,0,1,0,0,0,0,0,4,7
87,03/01/2022,Keka Campus,2,1,0,0,0,0,0,0,3,"4.7;5"
88,17/11/2021,JK Tech,4,0,2,0,0,0,0,0,6,4
89,20/01/2022,HashedIn By Deloitte (2nd visit),3,1,0,0,0,0,0,0,4,8.1
90,03/01/2022,PhonePe,4,0,0,0,0,0,0,0,4,14
91,18/12/2021,Stratogent,1,1,2,0,1,0,1,0,6,3.5
92,01/02/2022,Xoriant Solutions Pvt Ltd,6,0,2,0,0,0,0,0,8,5.5
93,12/03/2022,Mercedes Benz (R&D),5,7,0,0,0,0,0,0,12,10
94,14/03/2022,Bosch,19,12,14,5,0,0,0,0,50,5
95,06/01/2022,Sonata Software,6,2,3,1,1,0,0,0,13,4
96,01/04/2022,Palle Technologies,3,3,4,2,5,0,0,0,17,"2.4 to 6"
97, ,Harman with iPRIMED,1,1,1,1,0,0,0,0,4,5.5
98,05/04/2022,HCL 2nd,1,0,3,0,0,0,0,0,4,4.25
99,07/03/2022,TVS Supply chain solutions,1,0,0,0,3,0,0,0,4,2.4
100,18/04/2022,Yokogawa,1,0,1,2,0,0,0,0,4,4.2
101,19/04/2022,HashedIn By Deloitte (3rd visit),5,2,0,0,0,0,0,0,7,8.1
102,06/03/2022,One Direct,2,0,0,0,0,0,0,0,2,"16;20"
103,20/04/2022,Turing Minds AI,1,0,2,0,2,0,0,0,5,5
104,22/04/2022,Bosch Limited,0,1,3,0,3,0,0,0,7,4.5
105,05/05/2022,Magna,2,1,4,2,0,0,0,0,9,5.5
106,23/03/2022,Mpokket,0,0,0,0,4,0,0,0,4,2.64
107,14/05/2022,Acmegrade,0,0,0,0,3,0,0,0,3,19
108,20/04/2022,COLT Technology Services,0,0,0,0,3,0,0,0,3,3
109,22/05/2022,Theatro Labs India,0,0,0,0,1,0,0,0,1,1
110,30/05/2022,Thermax,0,0,0,0,0,0,0,0,0,0
111,08/06/2022,M/S LEADSQUARED,0,0,0,0,0,0,0,0,0,0
112,06/07/2022,Wells Fargo,0,0,0,0,2,0,0,0,2,0
113,14/06/2022,Nextfirst,0,0,0,0,0,0,0,0,0,0
114,13/07/2022,Signoff Semiconductor,0,0,0,0,0,0,0,0,0,0
115,29/07/2019,One Direct,3,1,0,0,0,0,0,0,4,16,""
116,20/08/2019,Juspay,0,0,0,0,0,0,0,0,0,8,""
117,21/08/2019,INZoom,0,0,0,0,0,0,0,0,0,"7 to 11",""
118,27/08/2019,Betsol,2,1,0,0,0,0,0,0,3,"4 to 6",""
119,31/01/2019,Accenture,55,3,36,11,7,2,0,0,141,"4.5;6.5",""
120,20/07/2019,TCS,18,12,11,6,0,0,0,0,47,3.5,""
121,08/04/2019,Mindtree,2,1,1,0,0,0,0,0,4,3.5,""
122,09/03/2019,Mcafee,2,0,0,0,0,0,0,0,2,1,""
123,23/09/2019,FSS,0,0,0,0,0,0,0,0,0,"5 to 7",""
124,09/11/2019,Zensar,2,1,0,0,0,0,0,0,3,4,""
125,21/09/2019,DeltaX,0,0,0,0,0,0,0,0,0,5,""
126,23/09/2019,Cinif Technologies,0,0,0,0,0,0,0,0,0,3.6,""
127,27/09/2019,HashedIn Technologies,1,1,0,0,0,0,0,0,2,8,""
128,21/09/2019,Thoughclan Technologies,1,0,0,0,0,0,0,0,1,4.5,""
129,13/02/2019,Avanseus,2,1,0,0,0,0,0,0,3,5,""
130,15/10/2019,Cognizant,0,0,0,0,0,0,0,0,0,3.5,""
131,23/10/2019,Infosys,15,18,8,4,5,1,0,0,51,3.6,""
132,18/10/2019,Wipro,3,5,0,0,0,0,0,0,8,3.5,""
133,21/10/2019,HiveMinds,0,1,0,0,2,1,0,0,4,3,""
134,11/02/2019,IBM,1,0,0,0,0,0,0,0,1,4.25,""
135,11/11/2019,IndiaMart,0,0,0,0,0,0,4,0,4,3,""
136,24/10/2019,Adobe,1,0,0,0,0,0,0,0,1,43.17,""
137,11/11/2019,Zycus Infotech,0,0,0,0,0,0,0,0,0,3.85,""
138,12/11/2019,TATA ELXSI,1,1,1,0,0,0,0,0,3,3.5,""
139,11/11/2019,Prodapt Solutions,1,1,0,0,0,0,0,0,2,3.3,""
140,11/11/2019,Lido,0,0,1,0,2,0,0,0,3,7,""
141,13/11/2019,Future Generali,0,0,0,0,0,0,2,0,2,"3 to 5",""
142,19/11/2019,Tayana Software,0,0,0,0,0,0,0,0,0,4,""
143,28/11/2019,PinClick,0,0,0,0,0,0,9,0,9,5.16,""
144,12/02/2019,Global Edge,0,0,0,0,0,0,0,0,0,3.25,""
145,13/12/2019,Seg Automotive,0,0,0,0,0,0,0,0,0,4,""
146,26/01/2019,Adobe,2,1,0,0,0,0,0,0,0,27.7,""
147,01/08/2020,Collins Aerospace,0,0,0,0,0,0,0,0,0,4.75,""
148,20/12/2019,West Agile labs,0,0,0,0,0,0,0,0,0,5.5,""
149,31/01/2020,DXC Technology,1,4,2,0,2,1,0,0,10,3.6,""
150,02/01/2020,Accenture (2nd Visit),4,3,5,0,0,0,0,0,12,4,""
151,17/02/2020,Toppr technologies,0,1,0,0,0,0,0,0,1,3,""
152,20/02/2020,Qspider,2,0,2,0,1,1,0,0,6,ND,""
153,02/03/2020,Yokogawa,0,0,0,3,0,0,0,0,3,3.5,""
154,26/02/2020,Square Yard,0,0,1,0,0,1,0,0,2,4.16,""
155,11/03/2020,Cyient,0,0,0,0,0,0,0,0,3,"",""
156,28/02/2020,Sasken,0,0,0,0,0,0,0,0,0,3.5,""
157,02/06/2020,Colt Technologies,0,0,0,0,0,0,0,0,0,4.5,""
158,19/02/2020,Sonata,0,1,1,0,0,0,0,0,2,3.5,""
159,17/02/2020,Vee Technology,0,0,0,0,0,0,0,0,0,2.5,""
160,19/02/2020,NTT Data,0,0,0,0,0,0,0,0,0,3,""
161,03/03/2020,Razorthink Technologies,0,0,0,0,0,0,0,0,0,"3.8 to 4.2",""
162,02/08/2020,Amazon,0,0,0,0,0,0,0,0,0,4,""
163,26/02/2020,RDA Labs,0,0,0,0,0,0,0,0,0,"3.6 to 4.2",""
164,29/02/2020,CSG System International,1,2,1,0,0,1,0,0,5,"4.5 to 5",""
165,02/12/2020,Quinnox,0,0,0,0,0,0,0,0,0,3.4,""
166,27/05/2020,Pentagon Space,1,0,1,0,0,0,0,0,2,2.2,""
167,12/07/2020,NextFirst,0,0,0,0,3,0,0,0,3,3.3,""
168,12/04/2020,ATOS,1,0,1,0,0,0,0,0,2,3.1,""
169, ,TOTAL,120,58,25,24,22,8,0,15,337,""
115,19/07/2022,Infosys,0,0,0,0,2,0,0,0,2,3.6
116,09/08/2022,Yuken India,0,0,0,0,4,0,0,0,4,6
117, ,Intel,0,0,0,0,0,0,0,0,0,0
118, ,Amazon,0,0,0,0,0,0,0,0,0,0
119, ,Goldman Sachs,0,0,0,0,0,0,0,0,0,0
120, ,Couch Base,0,0,0,0,0,0,0,0,0,0
121, ,TOTAL,315,171,179,39,48,13,4,0,770,7.5
122,19/02/2020,Infosys,0,1,1,0,0,0,0,0,2,4.25,"All Branches"
123,13/07/2020,Betsol,3,2,0,0,0,0,0,0,5,7,"CSE & ISE"
124,09/07/2020,CDK Global,0,0,0,0,0,0,0,0,0,4.5,"CSE & ISE"
125,13/07/2020,Juspay,0,0,0,0,0,0,0,0,0,8,"CSE,ISE,ECE & EIE"
126,01/09/2020,L & T Infotech,10,1,3,0,0,0,0,0,14,3.5,"All Branches"
127,28/09/2020,Noesys Software,2,0,0,0,0,0,0,0,2,4,"CSE & ISE"
128,27/09/2020,Textron,5,0,0,0,0,0,0,0,5,4.28,"CSE & ISE"
129,24/10/2020,TCS,19,9,10,0,0,0,0,0,38,3.36,"All Branches"
130,18/10/2020,Cognizant,19,8,16,1,0,1,0,0,45,4.5,"All Branches"
131,14/10/2020,Accenture,37,11,17,1,0,0,0,0,66,4.5,"All Branches"
132,10/12/2020,Prodapt,7,3,0,0,0,0,0,0,10,3.3,"CSE,ISE,ECE"
133,05/12/2020,JK Technosoft,0,0,1,0,0,0,0,0,1,3.5,"CSE,ISE,ECE"
134,22/02/2021,Wiley-mthree,2,0,0,0,0,0,0,0,2,11,"CSE & ISE"
135,14/02/2021,One Direct,0,2,0,0,0,0,0,0,2,16,"CSE & ISE"
136,08/01/2021,Evertz,1,7,0,0,0,0,0,0,8,3.5,"CSE,ISE,ECE & EIE"
137,18/01/2021,DeltaX,0,0,0,0,0,0,0,0,0,5,"All Branches"
138,01/03/2021,Lido,0,0,3,0,0,5,0,0,8,10,"All Branches"
139,03/03/2021,Lido (SS),1,2,2,0,0,0,0,0,5,10,"All Branches"
140,28/01/2021,Hiveminds,0,1,1,0,0,0,0,0,2,2.5,"All Branches"
141, ,Technologies Global,1,1,1,1,0,0,0,0,4,2.67,"All Branches"
142,07/03/2021,Delhivery,0,0,0,0,0,0,0,0,0,8,"CSE,ISE & ECE"
143,16/12/2020,NTT Data,5,7,7,0,0,0,0,0,19,3.5,"CSE, ISE & ECE"
144,22/03/2021,No Broker,0,1,0,0,1,2,0,0,4,4.8,"All Branches"
145,23/03/2021,Square Yards,0,0,0,1,6,8,0,0,15,4,"ECE,EIE,IEM & CVL"
146, ,Peol Technology,1,0,0,0,0,0,0,0,1,3.2,"All Branches"
147, ,Factor AI,2,0,0,0,0,0,0,0,2,7,"CSE & ISE"
148,01/04/2021,Pentagon Space,4,3,4,1,4,0,0,0,15,7.5,"All Branches"
149,29/03/2021,Qspiders,2,3,3,1,2,0,0,0,11,ND,"All Branches"
150,20/03/2021,Desk Nine,1,0,0,0,0,0,0,0,1,3,"CSE & ISE"
151,10/04/2021,Skillvertex,3,2,6,2,2,5,0,0,20,3.6,"All Branches"
152,05/04/2021,Smart Brains,4,4,4,1,1,2,0,0,16,2.7,"All Branches"
153,31/03/2021,NextFirst,0,0,0,0,2,1,0,0,3,2,"ME and IEM"
154,15/05/2021,Technovert (Software Engineer),1,0,0,0,0,0,0,0,1,4.5,"CSE & ISE"
155,16/05/2021,Technovert (full Stack Developer),2,0,0,0,0,0,0,0,2,5,"CSE & ISE"
156,25/01/2021,Infosys,1,8,8,3,1,0,0,0,21,4.25,"All Branches"
157,28/05/2021,Apisero,2,1,0,0,0,0,0,0,3,6,"All Branches"
158,31/03/2021,Avanseus,2,2,0,0,0,0,0,0,4,5,"CSE & ISE"
159,01/10/2020,HashedIn Technology,0,1,0,0,0,0,0,0,1,8,"CSE,ISE,ECE & EIE"
160,06/01/2021,Sonata Software,2,2,2,0,0,0,0,0,6,3.5,"CSE,ISE,ECE & EIE"
161,10/06/2021,Mercedes Benz,9,3,0,0,0,0,0,0,12,6.2,"CSE & ISE"
162, ,Saama Technologies,0,1,0,0,0,0,0,0,1,14.36,"CSE & ISE"
163, ,Global Shiksha,0,0,1,0,0,0,0,0,1,1.56,"All Branches"
164, ,Neudesic,1,0,0,0,0,0,0,0,1,3.6,"All Branches"
165, ,Chegg India Pvt Ltd,1,2,1,0,0,0,0,0,4,9.6,"All Branches"
166, ,Tricon Infotech,1,0,0,0,0,0,0,0,1,5,"CSE & ISE"
167, ,FIS Global,4,5,0,0,0,0,0,0,9,5,"CSE & ISE"
168, ,Wipro,1,0,1,1,0,0,0,0,3,3.5,"CSE,ISE,ECE & EIE"
169,28/06/2021,Fintellix,2,0,0,0,0,0,0,0,2,4,"CSE,ISE,ECE & EIE"
170, ,Accenture (2nd visit),1,0,1,0,0,0,0,0,1,4.5,"All Branches"
171, ,HP INC,0,0,0,0,0,2,0,0,2,ND,"All Branches"
172, ,Verzeo,3,1,0,1,0,0,0,0,5,ND,"All Branches"
173, ,TOTAL,162,94,93,14,19,26,0,0,406,ND,"CSE,ISE,ECE Total"